player_id,full_name,primary_pos,college,birth_date,first_year,last_year,career_seasons,total_career_games,career_passing_yards,career_rushing_yards,career_receiving_yards,career_tds,playoff_games,playoff_passing_yards,playoff_rushing_yards,playoff_receiving_yards,playoff_tds,def_solo_tackles,def_sacks,def_ints,draft_pick,pro_bowls,all_pros,hof_flag,height_in,weight_lb,forty_time,bench_press,vertical_jump,broad_jump,three_cone,twenty_shuttle,playoff_performance_bonus
00-0033957,Rodney Adams,WR,University of South Florida; Toledo,1994-09-15,2017,2022,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0,170,0,0,False,73.0,189.0,4.44,8.0,29.5,125.0,6.98,4.28,0.0
00-0024245,Joseph Addai,RB,LSU,1983-05-03,2006,2011,6,78,22,4453,1448,49,10,0,621,298,4,0,0.0,0,30,1,0,False,71.0,214.0,4.4,18.0,38.5,125.0,7.09,4.47,15.8
00-0032482,Bralon Addison,WR,Oregon,1993-10-12,2016,2016,1,1,0,4,11,0,0,0,0,0,0,0,0.0,0,999,0,0,False,69.0,197.0,4.66,13.0,34.5,116.0,6.95,4.14,0.0
00-0038994,Jordan Addison,WR,USC; Pittsburgh,2002-01-27,2023,2025,1,17,0,2,911,10,0,0,0,0,0,0,0.0,0,23,0,0,False,71.0,175.0,4.49,,34.0,122.0,,,0.0
00-0038783,Nate Adkins,TE,South Carolina,1999-07-09,2023,2025,1,4,0,0,22,0,0,0,0,0,0,0,0.0,0,999,0,0,False,75.0,252.0,,,,,,,0.0
00-0021629,James Adkisson,WR,South Carolina; Kemper Military Junior College,1980-01-11,2005,2007,1,1,0,0,9,0,0,0,0,0,0,0,0.0,0,999,0,0,False,77.0,235.0,,,,,,,0.0
00-0031549,Nelson Agholor,WR,USC,1993-05-24,2015,2024,9,131,15,71,4627,35,8,0,41,274,1,1,0.0,0,20,0,0,False,72.0,200.0,4.42,12.0,,,,,5.2
00-0033572,Jamal Agnew,WR,San Diego,1995-04-03,2017,2025,7,55,0,263,746,6,2,0,2,7,0,29,0.0,0,165,1,1,False,70.0,190.0,,,,,,,5.0
00-0030653,Ray Agnew,RB,Southern Illinois,1991-02-26,2014,2015,1,9,0,2,15,0,0,0,0,0,0,0,0.0,0,999,0,0,False,70.0,247.0,,,,,,,0.0
00-0000098,Louie Aguiar,P,Utah State; Chabot College,1966-06-30,1991,2000,1,1,13,0,0,0,0,0,0,0,0,0,0.0,0,999,0,0,False,74.0,220.0,,,,,,,0.0
00-0036020,Salvon Ahmed,RB,Washington,1998-12-29,2020,2025,4,30,0,593,274,6,1,0,3,45,0,0,0.0,0,999,0,0,False,71.0,197.0,4.62,,34.5,120.0,,,5.0
00-0028497,Kamar Aiken,WR,UCF,1989-05-30,2011,2018,5,60,0,0,1725,9,2,0,0,23,1,0,0.0,0,999,0,0,False,74.0,216.0,,,,,,,6.0
00-0021915,Sam Aiken,WR,North Carolina,1980-12-14,2003,2010,7,32,0,0,684,2,1,0,0,5,0,0,0.0,0,999,0,0,False,74.0,220.0,4.59,,39.5,121.0,7.22,,5.0
00-0031307,Walt Aikens,DB,Liberty; Illinois,1991-06-19,2014,2019,1,1,0,0,0,0,0,0,0,0,0,70,0.0,2,125,0,0,False,73.0,200.0,,,,,,,0.0
00-0000104,Troy Aikman,QB,UCLA; Oklahoma,1966-11-21,1989,2000,2,25,4536,23,0,25,1,286,0,0,0,0,0.0,0,999,0,0,False,76.0,220.0,,,,,,,5.0
00-0036261,Brandon Aiyuk,WR,Arizona State; Sierra JC,1998-03-17,2020,2025,4,61,0,117,3931,27,9,0,0,393,1,3,0.0,0,25,0,0,False,72.0,200.0,4.5,11.0,40.0,128.0,,,5.2
00-0031590,Jay Ajayi,RB,Boise State,1993-06-15,2015,2019,5,45,0,2546,419,14,4,0,217,82,0,0,0.0,0,149,1,0,False,72.0,223.0,4.57,19.0,39.0,121.0,7.1,4.1,5.0
00-0027581,Seyi Ajirotutu,WR,Fresno State,1987-06-12,2010,2015,6,22,0,0,424,3,0,0,0,0,0,0,0.0,0,999,0,0,False,75.0,215.0,4.6,14.0,36.0,115.0,7.22,4.39,0.0
00-0036414,Cam Akers,RB,Florida State,1999-06-22,2020,2025,4,34,0,1581,320,12,6,0,393,127,2,0,0.0,0,52,0,0,False,70.0,217.0,4.47,20.0,35.5,122.0,,4.42,5.7
00-0000108,David Akers,K,Louisville,1974-12-09,1998,2013,4,4,25,25,0,1,0,0,0,0,0,0,0.0,0,999,0,0,False,70.0,200.0,,,,,,,0.0
00-0034364,Jordan Akins,TE,UCF,1992-04-19,2018,2024,6,82,0,7,1887,8,1,0,0,8,0,1,0.0,0,98,0,0,False,76.0,245.0,,,,,,,5.0
00-0027912,Danario Alexander,WR,Missouri,1988-08-07,2010,2013,3,28,0,0,1395,10,0,0,0,0,0,0,0.0,0,999,0,0,False,77.0,217.0,4.62,,,,,,0.0
00-0000145,Derrick Alexander,WR,Michigan,1971-11-06,1994,2002,4,52,0,143,2701,16,0,0,0,0,0,0,0.0,0,999,0,0,False,74.0,206.0,,,,,,,0.0
00-0031950,D.J. Alexander,LB,Oregon State,1991-09-30,2015,2019,0,0,0,0,0,0,0,0,0,0,0,43,0.0,0,172,1,0,False,74.0,233.0,,,,,,,0.0
00-0034728,Jaire Alexander,CB,Louisville,1997-02-09,2018,2025,0,0,0,0,0,0,0,0,0,0,0,241,1.5,12,18,2,0,False,70.0,196.0,4.38,14.0,35.0,127.0,6.71,3.98,0.0
00-0037708,Maurice Alexander,WR,Florida International,1997-01-10,2022,2025,1,1,0,0,7,0,0,0,0,0,0,0,0.0,0,999,0,0,False,70.0,171.0,,,,,,,0.0
00-0032109,Kwon Alexander,MLB,LSU,1994-08-03,2015,2024,0,0,0,0,0,0,0,0,0,0,0,449,13.5,9,124,1,0,False,73.0,227.0,4.55,24.0,36.0,121.0,7.14,4.2,0.0
00-0019647,Shaun Alexander,RB,Alabama,1977-08-30,2000,2008,9,123,0,9445,1520,112,9,0,564,52,8,0,0.0,0,999,0,0,False,71.0,228.0,4.58,,,,,,6.8
00-0000166,Stephen Alexander,TE,Oklahoma,1975-11-07,1998,2007,8,87,0,0,2120,10,2,0,0,16,0,0,0.0,0,999,0,0,False,76.0,250.0,,,,,,,5.0
00-0022228,Rich Alexis,RB,Washington,1981-03-06,2005,2007,1,1,0,5,0,0,0,0,0,0,0,0,0.0,0,999,0,0,False,72.0,234.0,4.64,,32.0,114.0,7.41,4.43,0.0
00-0000172,Brian Alford,WR,Purdue,1975-06-07,1998,1999,1,2,0,0,7,1,0,0,0,0,0,0,0.0,0,999,0,0,False,73.0,190.0,,,,,,,0.0
00-0031962,Mario Alford,WR,West Virginia; Georgia Military,1992-02-25,2015,2017,1,1,0,0,15,0,0,0,0,0,0,0,0.0,0,238,0,0,False,68.0,177.0,4.43,13.0,34.0,121.0,6.64,4.07,0.0
00-0024763,Charles Ali,RB,University of Arkansas at Pine Bluff,1984-08-23,2007,2009,1,4,0,0,13,0,0,0,0,0,0,0,0.0,0,999,0,0,False,74.0,255.0,,,,,,,0.0
00-0038149,Josh Ali,WR,Kentucky,1999-03-03,2022,2023,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0,999,0,0,False,72.0,200.0,,,,,,,0.0
00-0033217,Mo Alie-Cox,TE,Virginia Commonwealth Univ.,1993-09-19,2017,2025,6,75,0,0,1286,14,2,0,0,32,0,0,0.0,0,999,0,0,False,77.0,267.0,,,,,,,5.0
00-0028163,Anthony Allen,RB,Georgia Tech; Louisville,1988-08-06,2011,2012,2,7,0,69,12,1,0,0,0,0,0,11,0.0,0,225,0,0,False,73.0,223.0,4.56,24.0,41.5,120.0,6.79,4.06,0.0
00-0029553,Antonio Allen,DB,South Carolina,1988-09-23,2012,2016,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0,999,0,0,False,73.0,210.0,4.58,17.0,34.0,118.0,7.02,4.25,0.0
00-0028565,Armando Allen,RB,Notre Dame,1989-04-30,2011,2012,2,11,0,172,16,1,0,0,0,0,0,0,0.0,0,999,0,0,False,70.0,190.0,4.59,23.0,,,,,0.0
00-0032434,Brandon Allen,QB,Arkansas,1992-09-05,2016,2025,4,14,1611,64,0,10,0,0,0,0,0,0,0.0,0,201,0,0,False,74.0,209.0,4.84,,28.0,110.0,7.06,4.33,0.0
00-0020058,David Allen,RB,Kansas State,1978-02-05,2003,2005,2,6,0,8,68,1,0,0,0,0,0,0,0.0,0,999,0,0,False,69.0,195.0,4.62,15.0,31.0,111.0,,,0.0
00-0039074,Davis Allen,TE,Clemson,2001-02-03,2023,2025,1,4,0,0,95,1,1,0,0,28,0,1,0.0,0,175,0,0,False,78.0,251.0,,,38.5,125.0,,,5.0
00-0029689,Dwayne Allen,TE,Clemson,1990-02-24,2012,2018,7,69,0,6,1564,20,4,0,0,141,1,3,0.0,0,64,0,0,False,75.0,265.0,4.85,27.0,32.0,110.0,7.12,4.37,5.5
00-0026022,Jake Allen,WR,Mississippi College,1985-01-18,2008,2009,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0,999,0,0,False,76.0,196.0,,,,,,,0.0
00-0000210,James Allen,RB,Oklahoma,1975-03-28,1997,2002,4,56,5,2213,887,6,1,0,7,9,0,0,0.0,0,999,0,0,False,70.0,215.0,,,,,,,5.0
00-0022740,Jared Allen,DE,Idaho State,1982-04-03,2004,2015,2,3,0,0,3,2,0,0,0,0,0,0,0.0,0,999,0,0,False,78.0,255.0,4.72,13.0,33.0,120.0,7.11,4.34,0.0
00-0031577,Javorius Allen,RB,USC,1991-08-27,2015,2019,5,49,0,1285,823,15,0,0,0,0,0,11,0.0,0,125,0,0,False,72.0,218.0,4.53,11.0,35.5,121.0,6.96,4.28,0.0
00-0033523,Jonathan Allen,DE,Alabama,1995-01-16,2017,2025,0,0,0,0,0,0,0,0,0,0,0,241,42.0,1,17,2,0,False,75.0,300.0,5.0,21.0,30.0,108.0,7.49,4.5,0.0
00-0034857,Josh Allen,QB,Wyoming; Reedley,1996-05-21,2018,2025,6,94,22673,3611,12,221,10,2723,563,16,27,4,0.0,0,7,4,0,False,77.0,237.0,4.75,,33.5,119.0,6.9,4.4,20.4
00-0030279,Keenan Allen,WR,California,1992-04-27,2013,2025,11,138,49,113,10530,60,5,0,0,336,3,4,0.0,1,76,6,0,False,74.0,211.0,4.58,,,,,,6.2
00-0034577,Kyle Allen,QB,Houston; Texas A&M,1996-03-08,2018,2025,6,29,4734,162,0,30,0,0,0,0,0,0,0.0,0,999,0,0,False,75.0,210.0,,,,,,,0.0
00-0034335,Marcus Allen,LB,Penn State,1996-08-07,2018,2022,1,1,0,4,0,0,0,0,0,0,0,34,0.0,0,148,0,0,False,74.0,215.0,,15.0,37.0,127.0,,4.32,0.0
00-0020214,Matt Allen,P,Troy,1977-10-23,2002,2002,1,3,0,23,0,0,1,0,0,0,0,0,0.0,0,999,0,0,False,75.0,230.0,,,,,,,5.0
00-0000232,Terry Allen,RB,Clemson,1968-02-21,1991,2001,3,31,0,1724,200,14,4,0,142,17,1,0,0.0,0,999,0,0,False,71.0,208.0,,,,,,,5.5
00-0022900,Will Allen,S,Ohio State,1982-06-17,2004,2015,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0,999,0,0,False,73.0,202.0,4.58,,,,,,0.0
00-0037263,Tyler Allgeier,RB,BYU,2000-04-15,2022,2025,2,33,0,1718,332,9,0,0,0,0,0,4,0.0,0,151,0,0,False,71.0,225.0,4.6,,33.0,120.0,,,0.0
00-0025533,Aundrae Allison,WR,East Carolina; Georgia Military; Coffeyville CC,1984-06-25,2007,2009,2,13,0,4,222,0,0,0,0,0,0,0,0.0,0,999,0,0,False,72.0,198.0,4.39,,37.0,127.0,,,0.0
00-0032626,Geronimo Allison,WR,Illinois; Iowa Western CC,1994-01-18,2016,2021,5,39,0,7,1045,6,5,0,0,84,0,0,0.0,0,999,0,0,False,75.0,202.0,4.67,,33.0,127.0,7.4,4.28,5.0
00-0000242,John Allred,TE,USC,1974-09-09,1997,2002,3,17,0,0,203,2,0,0,0,0,0,0,0.0,0,999,0,0,False,76.0,246.0,,,,,,,0.0
00-0024292,Jon Alston,LB,Stanford,1983-06-04,2006,2010,1,1,0,22,0,0,0,0,0,0,0,0,0.0,0,999,0,0,False,72.0,235.0,4.5,30.0,40.0,132.0,6.9,4.13,0.0
00-0021890,Richard Alston,WR,East Carolina,1980-11-20,2004,2004,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0,999,0,0,False,71.0,215.0,,,,,,,0.0
00-0000251,Mike Alstott,FB,Purdue,1973-12-21,1996,2007,8,108,0,3207,1396,46,8,0,252,149,5,0,0.0,0,999,0,0,False,73.0,248.0,,,,,,,6.2
00-0027862,Tyson Alualu,DE,California,1987-05-12,2010,2023,1,4,0,0,19,0,0,0,0,0,0,262,25.0,0,10,0,0,False,75.0,304.0,4.87,21.0,35.5,116.0,7.15,4.43,0.0
00-0022771,Eugene Amano,C,Southeast Missouri State,1982-03-01,2004,2012,1,1,0,0,7,0,0,0,0,0,0,0,0.0,0,999,0,0,False,75.0,300.0,,,,,,,0.0
00-0031042,Jace Amaro,TE,Texas Tech,1992-06-26,2014,2016,2,14,0,0,404,2,0,0,0,0,0,0,0.0,0,49,0,0,False,77.0,265.0,4.74,28.0,33.0,118.0,7.42,4.3,0.0
00-0026035,Danny Amendola,WR,Texas Tech,1985-11-02,2008,2021,13,160,83,99,6212,26,13,20,16,709,6,0,0.0,0,999,0,0,False,71.0,185.0,4.58,13.0,27.5,103.0,6.81,4.25,15.9
00-0000279,Kimble Anders,RB,Houston,1966-09-10,1991,2000,2,13,0,508,90,2,0,0,0,0,0,0,0.0,0,999,0,0,False,71.0,218.0,,,,,,,0.0
00-0026578,Colt Anderson,DB,Montana,1985-10-25,2009,2017,2,2,0,-1,0,0,0,0,0,0,0,0,0.0,0,999,0,0,False,70.0,195.0,,,,,,,0.0
00-0029854,C.J. Anderson,RB,California; Laney College,1991-02-10,2013,2019,7,65,0,3497,900,27,8,0,512,99,4,0,0.0,0,999,0,0,False,68.0,225.0,4.6,17.0,32.0,119.0,7.15,4.12,6.0
00-0022704,Courtney Anderson,TE,San Jose State,1980-11-19,2004,2007,3,28,0,0,763,6,0,0,0,0,0,0,0.0,0,999,0,0,False,78.0,270.0,4.89,17.0,30.0,106.0,7.86,4.45,0.0
00-0021048,Damien Anderson,RB,Northwestern,1979-07-17,2002,2005,4,17,0,142,72,0,0,0,0,0,0,0,0.0,0,999,0,0,False,71.0,202.0,4.56,27.0,33.5,112.0,6.93,4.02,0.0
00-0024465,David Anderson,WR,Colorado State,1983-07-28,2006,2011,6,46,0,0,965,4,0,0,0,0,0,0,0.0,0,999,0,0,False,70.0,193.0,4.57,,34.0,116.0,6.88,4.2,0.0
00-0025582,Deon Anderson,FB,Connecticut,1983-01-27,2007,2010,3,9,0,3,67,1,2,0,0,0,0,0,0.0,0,999,0,0,False,70.0,240.0,4.73,23.0,33.0,114.0,7.27,4.43,5.0
00-0023645,Derek Anderson,QB,Oregon State,1983-06-15,2005,2018,13,74,10877,236,0,65,2,0,-2,0,0,0,0.0,0,213,1,0,False,78.0,235.0,5.03,,29.0,103.0,7.67,4.62,5.0
00-0000316,Jamal Anderson,RB,Utah; Moorpark College,1972-09-30,1994,2001,3,21,0,1262,520,8,0,0,0,0,0,0,0.0,0,999,0,0,False,71.0,237.0,,,,,,,0.0
00-0029494,Joe Anderson,WR,Texas Southern; Louisiana Tech,1988-11-21,2012,2015,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0,999,0,0,False,73.0,196.0,,,,,,,0.0
00-0019594,Mike Anderson,RB,Utah; Mount San Jacinto College,1973-09-21,2000,2007,7,89,0,4071,727,42,4,0,163,41,3,0,0.0,0,999,0,0,False,72.0,230.0,,,,,,,6.5
00-0000339,Richie Anderson,FB,Penn State,1971-09-13,1993,2004,6,90,26,828,2342,15,4,0,32,139,2,0,0.0,0,999,0,0,False,74.0,215.0,,,,,,,6.0
00-0020370,Scotty Anderson,WR,Grambling State,1979-11-24,2001,2003,3,30,0,0,858,4,0,0,0,0,0,0,0.0,0,999,0,0,False,74.0,191.0,4.57,,34.5,115.0,,,0.0
00-0032725,Stephen Anderson,TE,California,1993-01-30,2016,2023,5,42,0,0,715,3,2,0,0,0,0,0,0.0,0,999,0,0,False,75.0,230.0,4.59,16.0,38.0,119.0,,,5.0
00-0039108,Will Anderson Jr.,DE,Alabama,2001-09-02,2023,2025,0,0,0,0,0,0,0,0,0,0,0,56,18.0,0,3,1,0,False,76.0,243.0,4.6,,,,,,0.0
00-0030789,Antonio Andrews,RB,Western Kentucky,1992-08-17,2014,2016,3,16,41,535,185,4,0,0,0,0,0,0,0.0,0,999,0,0,False,70.0,225.0,4.82,20.0,29.5,106.0,7.24,4.49,0.0
00-0034753,Mark Andrews,TE,Oklahoma,1995-09-06,2018,2025,6,87,0,8,4857,40,6,0,0,227,0,5,0.0,0,86,3,1,False,77.0,250.0,4.67,17.0,31.0,113.0,7.34,4.38,5.0
00-0024443,Willie Andrews,CB,Baylor,1983-11-02,2006,2007,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0,999,0,0,False,70.0,190.0,4.43,7.0,36.5,124.0,6.99,4.27,0.0
00-0000374,Joe Andruzzi,G,Southern Connecticut State,1975-08-23,1997,2006,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0,999,0,0,False,75.0,315.0,,,,,,,0.0
00-0029692,Bryan Anger,P,California,1988-10-06,2012,2025,6,6,19,-5,0,0,1,16,0,0,0,15,0.0,0,70,2,0,False,75.0,214.0,4.86,,,,,,5.0
00-0022041,Richard Angulo,TE,Western New Mexico University,1980-08-13,2003,2008,3,11,0,0,155,1,0,0,0,0,0,0,0.0,0,999,0,0,False,80.0,266.0,,,,,,,0.0
00-0030059,Ezekiel Ansah,DE,BYU,1989-05-29,2013,2020,0,0,0,0,0,0,0,0,0,0,0,174,50.5,0,5,1,0,False,77.0,275.0,4.56,21.0,34.5,118.0,7.11,4.26,0.0
00-0000387,Reidel Anthony,WR,Florida,1976-10-20,1997,2001,3,38,0,24,690,5,1,0,0,6,0,0,0.0,0,999,0,0,False,71.0,180.0,,,,,,,5.0
00-0035246,J.J. Arcega-Whiteside,WR,Stanford,1996-12-31,2019,2022,3,16,0,0,290,1,0,0,0,0,0,4,0.0,0,57,0,0,False,74.0,237.0,,,,,,,0.0
00-0027920,Emmanuel Arceneaux,WR,Alcorn State,1987-09-17,2011,2012,1,1,0,0,10,0,0,0,0,0,0,0,0.0,0,999,0,0,False,74.0,215.0,,,,,,,0.0
00-0031392,Dri Archer,RB,Kent State,1991-08-09,2014,2016,1,10,0,40,23,0,1,0,-1,15,0,0,0.0,0,97,0,0,False,68.0,173.0,4.26,20.0,38.0,122.0,6.86,4.06,5.0
00-0027660,Javier Arenas,CB,Alabama,1987-10-28,2010,2014,2,3,0,17,0,1,0,0,0,0,0,0,0.0,0,999,0,0,False,69.0,197.0,4.6,,,112.0,,,0.0
00-0033296,Alex Armah,RB,West Georgia,1994-05-17,2017,2023,5,34,0,56,43,4,0,0,0,0,0,5,0.0,0,192,0,0,False,74.0,255.0,,,,,,,0.0
00-0000422,Justin Armour,WR,Stanford,1973-01-01,1995,1999,1,14,0,0,462,4,0,0,0,0,0,0,0.0,0,999,0,0,False,76.0,215.0,,,,,,,0.0
00-0035268,Ryquell Armstead,RB,Temple,1996-10-30,2019,2021,2,16,0,188,160,2,0,0,0,0,0,1,0.0,0,140,0,0,False,71.0,220.0,4.45,22.0,30.0,114.0,7.02,4.29,0.0
00-0026465,Anthony Armstrong,WR,West Texas State,1983-03-29,2008,2012,3,27,0,19,986,5,0,0,0,0,0,0,0.0,0,999,0,0,False,71.0,179.0,,,,,,,0.0
00-0021406,Derick Armstrong,WR,Univ of Arkansas at Monticello; Tyler JC,1979-04-02,2003,2005,3,25,0,0,605,2,0,0,0,0,0,0,0.0,0,999,0,0,False,74.0,206.0,,,,,,,0.0
00-0034011,Dan Arnold,TE,Wisconsin-Platteville,1995-03-15,2017,2022,5,46,0,0,1258,7,1,0,0,0,0,0,0.0,0,999,0,0,False,78.0,220.0,,,,,,,5.0
00-0024447,Devin Aromashodu,WR,Auburn,1984-05-23,2006,2012,5,46,0,0,1193,5,2,0,0,13,0,3,0.0,0,233,0,0,False,74.0,201.0,4.35,,39.0,120.0,7.04,4.16,5.0
00-0026377,Adrian Arrington,WR,Michigan,1985-11-07,2008,2012,2,3,0,0,110,0,2,0,0,21,0,0,0.0,0,999,0,0,False,75.0,192.0,4.55,,,,,,5.0
00-0023479,J.J. Arrington,RB,California; College of the Canyons,1983-01-23,2005,2008,4,50,0,655,692,5,4,0,5,58,0,0,0.0,0,999,0,0,False,69.0,212.0,4.4,18.0,35.0,121.0,6.81,4.1,5.0
00-0026071,Kyle Arrington,CB,Hofstra,1986-08-12,2008,2016,2,3,0,0,0,0,0,0,0,0,0,0,0.0,0,999,0,0,False,70.0,186.0,,,,,,,0.0
00-0031599,Cameron Artis-Payne,RB,Auburn; Allan Hancock College,1990-06-23,2015,2018,4,18,0,491,86,5,1,0,7,1,0,2,0.0,0,174,0,0,False,70.0,215.0,4.53,,36.5,118.0,7.13,,5.0
00-0019995,Tom Ashworth,OT,Colorado,1977-10-10,2002,2007,1,1,0,0,1,1,0,0,0,0,0,0,0.0,0,999,0,0,False,78.0,306.0,5.11,20.0,33.5,109.0,7.4,4.3,0.0
00-0036194,Devin Asiasi,TE,UCLA,1997-08-14,2020,2023,2,7,0,0,44,1,0,0,0,0,0,0,0.0,0,91,0,0,False,75.0,260.0,4.73,16.0,30.5,115.0,,,0.0
00-0028198,Matt Asiata,RB,Utah; Snow,1987-07-24,2012,2016,5,51,0,1259,722,19,1,0,0,13,0,0,0.0,0,999,0,0,False,72.0,219.0,4.77,22.0,30.0,104.0,7.09,4.37,5.0
00-0022003,B.J. Askew,FB,Michigan,1980-08-19,2003,2009,7,35,0,116,317,2,2,0,3,34,0,0,0.0,0,999,0,0,False,75.0,233.0,4.6,,,,,,5.0
00-0034747,Marcell Ateman,WR,Oklahoma State,1994-09-16,2018,2023,2,10,0,0,270,1,0,0,0,0,0,0,0.0,0,228,0,0,False,76.0,216.0,4.62,13.0,34.0,121.0,7.07,4.25,0.0
00-0027720,Geno Atkins,DT,Georgia,1988-03-28,2010,2020,0,0,0,0,0,0,0,0,0,0,0,228,75.5,0,120,8,2,False,73.0,300.0,4.75,34.0,33.0,117.0,7.33,4.43,0.0
00-0031158,George Atkinson,RB,Notre Dame,1992-11-29,2014,2017,1,1,0,34,0,1,0,0,0,0,0,0,0.0,0,999,0,0,False,73.0,220.0,4.48,19.0,38.0,121.0,7.07,4.46,0.0
00-0036849,Tutu Atwell,WR,Louisville,1999-10-07,2021,2025,2,26,0,65,781,5,1,0,0,38,1,0,0.0,0,57,0,0,False,69.0,165.0,4.42,,33.0,117.0,6.89,4.14,7.0
00-0029853,Josh Aubrey,DB,Stephen F. Austin State,1991-04-09,2013,2015,1,1,0,34,0,0,0,0,0,0,0,0,0.0,0,999,0,0,False,70.0,207.0,,,,,,,0.0
00-0033421,Antony Auclair,TE,Laval,1993-05-28,2017,2022,5,15,0,0,131,1,0,0,0,0,0,0,0.0,0,999,0,0,False,78.0,256.0,,,,,,,0.0
00-0028179,David Ausberry,TE,USC,1987-09-25,2011,2014,3,10,0,-2,120,0,0,0,0,0,0,12,0.0,0,241,0,0,False,76.0,250.0,,,,,,,0.0
00-0037837,Calvin Austin III,WR,Memphis,1999-03-24,2022,2025,1,14,0,57,180,2,1,0,0,7,1,0,0.0,0,138,0,0,False,69.0,162.0,4.32,,39.0,135.0,6.65,4.07,7.0
00-0023921,Miles Austin,WR,Monmouth,1984-06-30,2006,2015,9,102,0,94,5273,38,3,0,8,116,1,0,0.0,0,999,0,0,False,74.0,215.0,4.47,21.0,40.5,123.0,7.09,4.14,5.7
00-0030525,Tavon Austin,WR,West Virginia,1990-03-15,2013,2022,9,107,0,1361,2239,26,2,0,-3,5,0,3,0.0,0,8,0,0,False,68.0,185.0,4.34,14.0,32.0,120.0,,4.01,5.0
